N	Optimal	Best Found
4	−5.1	-5.0717
5	−7.2	-7.16219
6	−9.3	-9.34017
7	−12.5	-12.465
8	−14.7	-14.6329
9	−16.9	-16.6597
10	−20.1	-18.9354
11	−22.3	-21.4258
12	−25.5	-24.3834
13	−27.8	-26.918
14	−31.0	-29.6838
15	−33.2	-32.6135
16	−36.5	-33.9053
17	−38.7	-36.9939
18	−42.0	-38.1547
19	−45.3	-41.6245
20	−47.5	-44.8945
21	−50.8	-46.4786
22	−53.0	-48.0152
23	−56.3	-51.0
24	−59.6	-52.6622
25	−61.8	-54.948
26	−65.1	-57.8007
27	−68.4	-56.8625
28	−70.0	-60.2806
29	−74.0	-62.7181
30	−77.2	-64.042
31	−79.5	-66.6319
32	−82.8	-70.008
33	−86.1	-70.969
34	−88.3	-72.8008
35	−91.7	-78.7509
36	−95.0	-77.1246
37	−98.3	-80.0404
38	−100.5	-79.7988
39	−103.8	-85.7043
40	−107.1	-85.4764
41	−109.4	-88.7995
42	−112.7	-91.8655
43	−116.0	-88.4889
44	−119.3	-88.7862
45	−121.6	-91.8972
46	−124.9	-99.764
47	−128.6	-98.9701
48	−131.5	-102.948
49	−133.8	-97.7711
50	−137.1	-103.551
51	−140.5	-105.572
52	−143.7	-107.815
53	−146.0	-106.928
54	−149.3	-109.118
55	−152.7	-118.146
